age,América del Norte,América del Sur,Asia,Europa,NS/NC,Oceanía,África,All
18-21,0.14,0.32,6.97,0.23,0.05,0.05,0.88,8.63
22-24,1.29,1.15,12.14,1.29,0.05,0.14,2.54,18.61
25-29,2.72,1.85,14.13,2.91,0.05,0.18,3.88,25.72
30-34,2.59,1.71,8.03,2.26,0.05,0.42,2.63,17.68
35-39,1.94,1.34,4.34,1.99,0.0,0.28,2.08,11.96
40-44,1.29,0.97,1.99,1.66,0.05,0.23,0.78,6.97
45-49,1.34,0.51,0.97,1.02,0.0,0.18,0.42,4.43
50-54,0.69,0.23,0.65,1.02,0.0,0.23,0.14,2.95
55-59,0.46,0.09,0.51,0.28,0.0,0.05,0.05,1.43
60-69,0.78,0.18,0.18,0.09,0.0,0.0,0.0,1.25
70+,0.32,0.0,0.05,0.0,0.0,0.0,0.0,0.37
All,13.57,8.36,49.95,12.74,0.23,1.75,13.39,100.0
