,q7,age,gender,q3,continente,q4,q6,q8,q21,q22
0, Bash,4.43,4.43,4.43,4.17,4.43,4.43,4.39,4.22,4.22
1, C,7.43,7.43,7.43,7.0,7.43,7.43,7.39,6.61,6.56
2, C++,8.91,8.91,8.91,8.43,8.91,8.91,8.87,7.91,7.87
3, Java,9.3,9.3,9.3,8.78,9.3,9.3,9.26,8.13,8.13
4, Javascript,9.95,9.95,9.95,9.21,9.95,9.95,9.91,9.34,9.34
5, Julia,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.52,0.52
6, MATLAB,7.69,7.69,7.69,7.26,7.69,7.69,7.65,7.17,7.17
7, None,1.39,1.39,1.39,1.3,1.39,1.39,1.39,1.3,1.3
8, Other,9.26,9.26,9.26,8.69,9.26,9.26,9.26,8.78,8.69
9, R,31.07,31.07,31.07,28.99,31.07,31.07,31.03,29.25,29.03
10, SQL,60.8,60.8,60.8,57.28,60.8,60.8,60.76,57.41,57.02
11, Swift,0.56,0.56,0.56,0.48,0.56,0.56,0.52,0.52,0.52
12,Python,78.4,78.4,78.4,73.97,78.4,78.4,78.36,73.36,72.66
